"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"YIL014C-A",-3.17786362896712,-0.515335465257426,0.125283654888817,-0.176858494736165,-0.338008358546075,0.0172038323938453,-0.500173385577032,0.229895399630652,0.275476482679304,-0.264056264000249,0.198280497634431,1.12687636999453e-14
"YGR053C",-3.27187355354837,0.385805331313348,0.0946276888078972,-0.125877838931566,0.193450836783156,-0.0472519999464362,0.075315338916812,0.145757320968264,-0.0143172122171854,-0.0691996072544913,-0.123419565117181,-5.71764857681956e-15
"YCR101C",-2.64599705500571,0.417336996539714,-0.634060027527597,-1.22574997211496,-1.1119224185536,-0.0181401981280003,-0.384342964155963,-0.252408225547141,-0.0690418125120677,-0.598317930758216,-0.324889236541938,-2.35922392732846e-15
"YER087C-B",2.93771834790798,0.373515445550184,0.777561252883823,-0.935558933714996,0.485956689046344,-0.115125307570944,0.451201486209252,-0.0189585697875293,0.25117676278862,-0.484753448180044,0.132297242136434,-5.42621503285545e-15
"YOR280C",-0.940167673957401,-1.54322152618658,-1.66065802063544,-0.593067094361166,0.383406422675355,-1.15380282074,1.23225449809891,0.109611269102464,-0.524622203610863,-0.319148776805123,-1.07373468221284,-6.0507154842071e-14
"YGR097W",-3.28286032599162,-0.313883088395964,0.129328484884165,0.00920748737188237,0.00212939505179088,0.242873957513715,0.141940497427211,-0.119839864904701,-0.00274722184767739,0.0465278120917305,0.095396495044619,3.99680288865056e-15
"YHR215W",1.06736325133159,1.2264379858951,-2.17757328259476,-1.39437885442227,0.678006763934827,0.506212788445214,-0.0876132815204849,0.732893900665561,-0.318676855689659,0.15909061784572,-0.0791712508619748,2.00377908710081e-14
"YKL025C",-2.89386828623707,-1.5472832802957,0.0996552330529153,0.242174379172841,0.15939983136332,0.270884138463634,0.234446206043798,-0.045899920221622,-0.156261008305077,-0.0263168315022407,-0.019139296423256,-1.94289029309402e-15
"YKR011C",-3.03081071726677,1.10263737867615,0.291903558335374,0.178141568510144,-0.186443443246188,0.495771464397121,0.29329022891871,0.170933725146549,0.120180098344214,-0.11038258684659,0.210169803230041,-6.63358257213531e-15
"YEL004W",-1.06077562705005,-1.46889470494054,-0.360445914324121,0.563301445731363,-0.942083465387527,-1.49658481318395,1.43185658056651,-0.0968643818327891,-0.461822619810733,-0.726015999694744,1.22169397393564,-1.97619698383278e-14
"YJL200C",3.31386009004867,-0.0633029939265272,-0.0398985269450897,-0.0278898365988454,0.0225226924505912,-0.0609676410722022,-0.0742812695245082,0.0541433813195737,-0.0770791798089665,0.0433418680328425,-0.0190327432130085,1.60982338570648e-15
"YLL027W",-3.2504013711603,0.389528776410935,-0.211709809470728,-0.182249047447492,-0.247194501654916,-0.0340044195268553,-0.120299269127839,-0.0750522514521667,-0.174498736260112,0.258132711027901,0.0701913760059887,4.44089209850063e-15
"YLR045C",3.25945647470671,0.208627491764353,-0.133842909201387,-0.164569939862919,0.347539180874987,-0.0924431256447717,-0.0299010244531271,-0.248692376949777,0.217093567775691,-0.110989654783498,-0.0111063239879003,-2.22044604925031e-16
"YDR348C",3.1592313142816,0.939120579547198,0.0453706615814922,-0.0858433542645084,0.17772948675747,-0.0723741649242247,-0.148794574889589,-0.0267514252756943,0.0284539617746754,-0.149797542685561,0.14740002037475,6.32827124036339e-15
"YPL183C",3.27962192288455,-0.419840945834485,-0.11505296742675,0.197679300368752,-0.0815658602144772,-0.083331816831063,-0.0346024682439857,-0.117268297166714,-0.0744254617707725,-0.0544870134565447,0.0451760396167239,2.4980018054066e-15
"YGR003W",-2.98663999823742,-0.812217255652398,-0.765912329373162,0.0417085648268728,-0.142130640537595,-0.365483605857675,-0.479337858865117,-0.167537069790031,-0.462159333893767,-0.368954254695713,0.19960437882571,8.32667268468867e-15
"YBL095W",-3.23239776801313,0.450713811297424,-0.383951201080744,0.184542889627267,-0.0483037383902553,-0.284979791062833,0.000642727927095132,0.0458820089106803,-0.00992032823594127,0.173969538843432,0.075217312370714,-2.77555756156289e-16
"YGL060W",-1.75809710234604,-1.18918439308877,0.472597425102252,0.820044379384804,0.488265060169939,-0.650741588746598,0.113309553090251,0.428285437096416,1.31799802400132,0.3459477563227,1.70220429891626,1.5709655798446e-14
"YLL007C",1.13415315118506,1.10633623803653,-0.763700319405769,-0.955848213726463,-1.55421675874994,-1.17603235232706,0.409340519680506,-0.0668089473111812,0.954698343479499,0.61489900765167,-1.32821527268831,-1.90125692967058e-15
"YEL009C",2.71428277583075,0.484536409454392,-1.15208643292505,0.424521815268384,0.911456649511226,-0.602230360970513,-0.524205477442877,-0.321241175997035,0.00779550774145496,0.389604436667449,0.129327957249281,4.27435864480685e-15
"YEL015W",3.2963676086823,-0.173856732078272,-0.0671659011701605,-0.184064082528081,-0.16883664589089,-0.0730973535303865,0.0232114267381078,0.19438476596459,0.094951158566004,0.0142586855432305,0.0556542446147463,5.68989300120393e-15
"YOR083W",2.64459370878158,1.62432019181658,0.464453602235194,-0.460323967588366,0.202901906101079,0.37985265124406,0.0978308001555141,-0.122307021488744,0.402041679367538,-0.162758760909744,0.717379665260188,2.17048601314218e-14
"YBR252W",3.28064231427519,0.163513290127548,-0.0746314446289827,-0.0900266401296735,-0.091161727073567,-0.409244937998567,-0.0623585798613617,-0.0350538649696051,0.0253826461986707,-0.127432048986595,0.124210795039667,-2.33146835171283e-15
"YDR329C",-3.29338338309021,0.133133752380149,0.108367978208209,0.146922893875517,0.149132854485042,0.0273031616851463,0.0142752154234824,0.168632905206512,0.147909267984361,-0.0139527011749952,0.0322280403553357,-1.94289029309402e-15
"YDL202W",3.2759937218048,0.11657960685638,-0.0897745757376984,0.0287325750237328,-0.166739257260746,0.345247733438392,0.201654906197814,0.00842251694541579,0.15109538696287,-0.046980299470264,-0.188147062441465,-1.07136521876328e-14
"YHR209W",-3.28336363776364,0.0183683488569073,-0.276938000596685,-0.0920939679512626,0.00534887641631138,0.0575244551088455,0.00230512326235255,0.158813166264619,-0.0302018442423954,-0.218398743657734,-0.113123504164352,-4.94049245958195e-15
"YPR008W",-3.28947299894399,0.0487470155674974,0.239177913839915,0.0737753593678782,0.2445238067115,-0.177655259319868,0.00352134947531174,-0.0599450328433705,-0.0521895443779069,0.0198267692109789,-0.064492284361672,-1.11022302462516e-15
"YER075C",-3.19159726335124,-0.831447601593849,-0.158783689951799,-0.0624956371889593,0.151282832539432,0.0872424128172283,-0.118108374723487,-0.0195370084629344,-0.0332019354998513,-0.141705432938753,0.0410640718300616,-2.33146835171283e-15
"YDL203C",1.75616840335336,1.48098790445401,-0.33491059845538,-0.11794206377263,-0.452050440044911,1.33285837203395,-0.769403872122547,1.64484116803005,-0.406877485045603,0.0170169794299328,0.292177814342967,5.47895062652515e-14
"YBR050C",-3.1579830655393,-0.0957698526218282,0.468074000041175,0.535239393330503,-0.212017322406516,0.306640701218381,0.38187386037234,0.315993151627639,0.0214253322994368,0.379753139583671,-0.145524376004245,-5.38458166943201e-15
"YMR197C",-3.13774343646864,0.8630201479022,0.143620027306837,-0.424992969716221,0.0529484748928789,-0.14629050403491,0.317936216891459,0.166124376309144,-0.0951573264902048,-0.147389925362559,0.0189828409508632,-1.17683640610267e-14
"YDR261W-A",1.7391337154318,1.32520150981814,-0.183141127984172,0.559490356419778,-0.530121149804145,0.834114645511394,-0.706705220277098,-1.96925125444005,0.407633993305792,-0.4127389717209,-0.396340351704013,-2.77555756156289e-15
"YBL049W",-3.30920995411061,-0.0194595402929384,-0.0366896145833105,-0.00279538864573609,-0.136401453718766,-0.114538995898806,-0.0777713115019421,0.00450292478790493,-0.0465427718346605,-0.0264256491376422,0.0054027631411188,2.27595720048157e-15
"YER054C",-3.30053061434745,-0.16370242803922,0.135295353100316,-0.0318650418850718,-0.113941344149193,-0.187281495230152,0.128047526463691,0.0152791562556645,-0.0337119477513405,0.0851489813296036,0.00887342454707969,-2.44249065417534e-15
"YDR305C",-0.899505260881716,2.90013716672852,-0.0619045902627553,0.183774405947108,-0.444755020141999,0.574512579771451,0.393732272418662,0.567831510634428,0.585447321306889,0.109348887094491,0.559815830750545,1.37112543541207e-14
"YHL019W-A",-2.47805307105093,0.740039726305224,-0.27997462732154,-0.0531801671531248,-0.350600794152063,-0.0664675060631553,0.678509720599962,-0.883872758366216,0.676478640688263,1.4147264478505,-0.611991111231894,-1.33781874467331e-14
"YNL201C",-0.518391457022064,-1.40979151497941,1.77322862537118,1.7881411696347,-0.321989632024532,-1.49461346729944,-0.137447652579368,0.382535190125528,0.299910376343771,0.056421066078695,-0.196503629236377,-1.07136521876328e-14
