Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XR_011817277.1	0	0.008458	0	0	0.015889	0	0	0	0	0.059588	0	0.04671	0	0	0
XR_011817280.1	0.127789	0.176093	0.142833	0.094249	0.082486	0.413206	0.31121	0.064447	0.220383	0.655162	0.129458	0.025042	0.073863	0.186504	0.059125
XR_011817283.1	1.05723	1.10459	0.818361	0.737659	1.00011	1.20842	0.492925	0.404782	0.959561	0.540732	0.708877	0.417441	1.11519	0.941633	0.694014
XM_072065382.1	25.448	26.6427	33.5216	20.4409	30.6112	24.7012	25.98	39.8116	23.7184	31.1684	29.534	30.967	32.4715	30.8749	28.2249
XR_011817285.1	0	0	0	0	0	0	0	0	0.019788	0	0	0	0.020135	0	0
XR_011817286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817296.1	0	0.064775	0	0.161761	0	0	0.046975	0	0	0.091739	0.031743	0.07345	0.107199	0	0.115974
XR_011817303.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817305.1	0.089221	0.068246	0.061701	0.048787	0.032034	0.055203	0.061307	0.08871	0.063294	0.048137	0.100545	0.100464	0.089371	0.075011	0
XR_011817309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072046019.1	0.421586	0.391089	0.485841	0.40269	0.627594	0.320946	0.190109	0.302812	0.087969	0.249497	0.268067	0.364966	0.209728	0.276594	0.314576
XM_027246214.2	21.7628	25.7945	26.3946	21.1754	26.1336	23.6045	19.0328	24.4713	24.1635	29.7126	23.6385	24.9018	25.8033	26.2291	27.2926
XR_011817361.1	35.2714	35.9107	27.4673	19.3261	37.2874	22.6153	33.24	29.1964	28.3938	23.102	24.5152	26.2002	22.7072	31.5155	26.4925
XM_027213438.2	18.8056	17.5588	20.8305	13.7801	19.5268	17.6195	13.7578	16.7029	14.612	19.5437	20.0991	17.6168	17.2124	17.3626	15.6715
XR_011817367.1	0	0	0	0	0	0	0	0	0	0	0	0.029452	0	0	0
