Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_072067607.1	135	117.025	76.035	110.105	127	72.004	139.323	162.117	108.805	90.045	69.001	108.939	123.367	154.103	68.158
XM_072050658.1	0	0	0	1	0	0	1.99	7.241	0	4	4.138	0	3	2	0
XR_003458311.2	112.302	148.358	18.741	29.005	63.571	100.19	25.278	60.101	53.668	102.358	86.334	67.773	23.337	146.548	19.878
XM_072068698.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027270664.2	392.82	609.419	248.586	270.955	512.027	331.181	316.843	396.302	375.527	317.518	427.215	481.814	362.702	497.774	268.605
XM_072077606.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_003458697.2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
XM_072056212.1	0	0	1	2	0	0	1	0	0	1	1	0	0	0	2
XM_027233502.2	276.898	332.713	430.069	432.171	305.683	441.84	597.32	444.807	425.374	314.669	245.565	302.516	533.496	496.293	205.202
XR_003450236.2	0	0	1	0	2	0	148.828	473.038	842.795	0	0	1	369.796	0	0
XM_072048060.1	201	113.95	127.139	98.498	137	105.035	76	108	117.475	98.146	60.966	119	181.932	107.997	210.299
